Requirement ID,Assessment,Issue Category,Explanation,NASA Source,Proposed Revision
SFMC-REQ-022,ACCEPTABLE,-,Clear capability.,n/a - no defect identified,-
SFMC-REQ-023,ACCEPTABLE,-,Trigger and response stated.,n/a - no defect identified,-
SFMC-REQ-024,ACCEPTABLE,-,Clear capability.,n/a - no defect identified,-
SFMC-REQ-025,NEEDS REVIEW,Undefined term,"'Important' is undefined (Open Items #4) and 'securely encrypted' names no algorithm or standard. Also written in passive voice with no subject, so it is unclear the SFMC is the responsible component.",SWEHB 5.09 3.2.1 (Specific: clear and unambiguous),The SFMC shall encrypt all [defined category] communications using [named standard]. Requires classification criteria and a crypto standard from Cybersecurity. Cannot revise without stakeholder input - see Explanation.
SFMC-REQ-026,ACCEPTABLE,-,"Enumerated scope, testable.",n/a - no defect identified,-
SFMC-REQ-027,ACCEPTABLE,-,"Model requirement: trigger, response, and a 1-second latency bound.",n/a - no defect identified,-
SFMC-REQ-028,ACCEPTABLE,-,Clear obligation.,n/a - no defect identified,-
SFMC-REQ-029,ACCEPTABLE,Compound (minor),Complete enumeration of required fields; each is testable.,n/a - no defect identified,Optional: split per field for traceability.
SFMC-REQ-030,NEEDS REVIEW,Undefined term,"'Critical' is undefined (Open Items #3), and 'immediately' is unquantified - which also conflicts with REQ-027, where fault display is bounded at 1 second. Two requirements give different timing for overlapping behavior.",SWEHB 5.09 3.2.1 (Specific: clear and unambiguous) / NPR 7150.2D 4.1.6 (SWE-054: inconsistencies among requirements),Requires a fault-criticality definition and a numeric bound. Should be reconciled with REQ-027. Cannot revise without stakeholder input - see Explanation.
SFMC-REQ-031,ACCEPTABLE,-,"Testable. Subject is the pilot rather than the SFMC, which is a minor style inconsistency, not a defect.",n/a - no defect identified,-
SFMC-REQ-032,NEEDS REVIEW,Undefined term + scope inconsistency,"'Prioritize' names no mechanism (CPU scheduling? function shedding?) and 'nonessential' is undefined. Separately, life-support is NOT listed as an SFMC-connected subsystem in SRS section 1.2, so this requirement references a system the SFMC is not documented to control.",SWEHB 5.09 3.2.1 (Behavioral: defines behavior under specific conditions) / NPR 7150.2D 4.1.6 (SWE-054: inconsistencies among requirements),Requires a function-priority table and clarification of whether life-support is within SFMC scope. Cannot revise without stakeholder input - see Explanation.
SFMC-REQ-033,NEEDS REVIEW,Undefined term,'Seriously damaged' and 'safest destination' are both undefined. Open Items #5 confirms 'safe location' is unresolved.,SWEHB 5.09 3.2.1 (Specific: clear and unambiguous),Requires damage-assessment thresholds and destination-safety criteria. Cannot revise without stakeholder input - see Explanation.
SFMC-REQ-034,NEEDS REVIEW,Undefined term + weak phrasing,"'Safe location' undefined (Open Items #5). 'Shall be capable of' states a capability rather than a behavior, which is weaker than 'shall fly'. Also overlaps REQ-033 and REQ-005 without stating how they interact.",SWEHB 5.09 3.2.1 (Behavioral: defines behavior under specific conditions),The SFMC shall fly the spacecraft to a destination meeting [criteria] when [condition]. Requires criteria from Mission Operations. Cannot revise without stakeholder input - see Explanation.
SFMC-REQ-035,NEEDS REVIEW,Requirements conflict,"'Always' is an unbounded absolute. More seriously, it directly conflicts with REQ-015: if the pilot can ALWAYS override automatic controls, can the pilot override the friendly-fire inhibit? The two requirements cannot both hold as written. This is the clearest example in the SRS of an inconsistency detectable only by reading the set.",NPR 7150.2D 4.1.6 (SWE-054: inconsistencies among requirements),Requires an explicit statement of which safety inhibits are non-overridable. Cannot revise without stakeholder input - see Explanation.
SFMC-REQ-036,ACCEPTABLE,-,"Quantified (30 s) and testable. 'Operational' is not formally defined, but boot-to-ready is a reasonable reading.",n/a - no defect identified,-
SFMC-REQ-037,NEEDS REVIEW,Unquantified qualifier,'Without noticeable delay' is subjective and observer-dependent. Open Items #8 confirms.,SWEHB 5.09 3.2.1 (Specific and verifiable/testable),Requires a latency ceiling in milliseconds from Human Systems Integration. Cannot revise without stakeholder input - see Explanation.
SFMC-REQ-038,NEEDS REVIEW,Requirements conflict,"Quantified (10 Hz), which is good. But REQ-002 requires position updates at only 2 Hz (500 ms). If displayed position is 'flight information', the two requirements specify different rates for the same data.",NPR 7150.2D 4.1.6 (SWE-054: inconsistencies among requirements),"Reconcile with REQ-002: define whether 'flight information' includes position, and state one rate."
SFMC-REQ-039,ACCEPTABLE,-,"Quantified duration, testable.",n/a - no defect identified,-
SFMC-REQ-040,NEEDS REVIEW,Unverifiable absolute,'Never crash' is a universal negative and cannot be demonstrated by finite testing. Reliability must be expressed statistically or against a defined operational profile.,SWEHB 5.09 3.2.1 (Specific and verifiable/testable),The SFMC software shall exhibit no more than [X] unplanned terminations per [Y] operating hours. Requires a reliability target from Systems Engineering.
SFMC-REQ-041,NEEDS REVIEW,Circular definition,"'Recoverable' is defined only by the fact that recovery is possible, making the requirement circular. No recovery time bound is given either.",SWEHB 5.09 3.2.1 (Specific and verifiable/testable),"Requires an enumerated fault taxonomy identifying which classes are recoverable, plus a maximum recovery time. Cannot revise without stakeholder input - see Explanation."
SFMC-REQ-042,NEEDS REVIEW,Undefined term,"'Important mission data' is undefined. Same undefined qualifier as REQ-025, applied to a different subsystem.",SWEHB 5.09 3.2.1 (Specific: clear and unambiguous),Requires a data-classification scheme naming which items must survive a fault. Cannot revise without stakeholder input - see Explanation.
SFMC-REQ-043,NEEDS REVIEW,Escape clause,'Whenever possible' makes the requirement unfalsifiable - any failure to continue operating can be attributed to it not being possible.,SWEHB 5.09 3.2.1 (Specific and verifiable/testable),Requires an explicit degraded-mode matrix: which subsystem losses require which continued functions.
SFMC-REQ-044,ACCEPTABLE,-,Clear obligation; contents are specified in REQ-045.,n/a - no defect identified,-
SFMC-REQ-045,ACCEPTABLE,Compound (minor),"Complete enumeration of six event classes, each individually testable. Compound in the traceability sense only.",n/a - no defect identified,Optional: split into 045a-045f so partial implementation can be recorded.
SFMC-REQ-046,ACCEPTABLE,-,Clear and testable.,n/a - no defect identified,-
SFMC-REQ-047,NEEDS REVIEW,Unquantified qualifier,'Sufficient storage' gives no capacity figure and no worst-case event rate to derive one from. Open Items #6 confirms.,SWEHB 5.09 3.2.1 (Specific and verifiable/testable),"Requires a worst-case event-rate estimate and a resulting capacity in MB/GB, for the 72-hour mission of REQ-039. Cannot revise without stakeholder input - see Explanation."
SFMC-REQ-048,ACCEPTABLE,-,"Clear precondition on spacecraft operation, testable.",n/a - no defect identified,-
SFMC-REQ-049,ACCEPTABLE,-,Testable given a defined authorization scheme; REQ-048 provides adjacent context.,n/a - no defect identified,-
SFMC-REQ-050,NEEDS REVIEW,Unquantified qualifier,"'State-of-the-art' names no standard and changes meaning over time, so the same implementation could pass today and fail later. Open Items #9 confirms.",SWEHB 5.09 3.2.1 (Specific: clear and unambiguous),Requires named standards (e.g. a FIPS or CCSDS reference) from Cybersecurity. Cannot revise without stakeholder input - see Explanation.
SFMC-REQ-051,ACCEPTABLE,-,"Legitimate design constraint, clearly stated.",n/a - no defect identified,-
SFMC-REQ-052,ACCEPTABLE,-,Legitimate interface constraint.,n/a - no defect identified,-
SFMC-REQ-053,ACCEPTABLE,-,"Testable, with a clear mode precondition. Subject is maintenance personnel rather than the SFMC - minor style inconsistency only.",n/a - no defect identified,-
SFMC-REQ-054,ACCEPTABLE,-,Clear obligation with a defined ordering ('before installing').,n/a - no defect identified,-
