Source,Section,Guidance / Concept,Applies To,Our Interpretation,Questions
SWEHB 5.09,3.2.1 (Characteristics of Functional Requirements),Behavioral: define system behavior or operations under specific conditions.,INDIVIDUAL,"Requires both a trigger condition and a defined response. Catches REQ-010, where the condition (engine failure) is given but the response ('appropriate corrective action') is not.",Is a requirement with a response but no stated condition equally defective? Not addressed.
SWEHB 5.09,3.2.1 (Characteristics of Functional Requirements),"Complete: cover all expected inputs, outputs, and scenarios.",SET/SRS,Cannot be judged from one requirement. Starhawk has no requirement covering Autopilot failure mid-route.,Hardest criterion to automate: detecting an absence requires knowing what should have been there. We should say so rather than promise it.
SWEHB 5.09,3.2.1 (Characteristics of Functional Requirements),"Traceable: linked to user needs, business goals, or use cases.",MULTIPLE,Spans all three levels: whether a requirement carries a parent tag is INDIVIDUAL; whether every mission need is covered is SET; whether the matrix is maintained is PROCESS.,Best single example of one concept splitting across levels. Cite in ai_review_brainstorm.md.
SWEHB 5.09,3.2.1 (Characteristics of Functional Requirements),User-focused: describe how the system will respond to user inputs.,INDIVIDUAL,The weakest and most subjective of the six. Arguably style guidance rather than a testable criterion.,Include in the taxonomy at all? Risk of low-value findings. Leaning exclude.
SWEHB 5.09,3.2.1 (Tips for Writing Good Functional Requirements),Use clear and consistent language; use 'shall' to indicate mandatory behavior.,INDIVIDUAL,Detectable per sentence.,"INFERENCE: the handbook says use 'shall' for mandatory behavior but does NOT forbid 'shall' outside numbered requirements. Our Starhawk section 2.1 finding is an engineering inference, not a cited rule."
SWEHB 5.09,3.2.1 (Tips for Writing Good Functional Requirements),"Follow a structured format: include requirement ID, description, rationale, and acceptance criteria. Number each requirement for easy reference.",MULTIPLE,Starhawk has IDs and descriptions but NO rationale and NO acceptance criteria on any of the 54 requirements. Per-requirement this is INDIVIDUAL-checkable; as a documentwide omission it is SET/SRS.,"Strong finding: this is a uniform gap across all 54, not scattered defects."
SWEHB 5.09,3.2.1 (Tips for Writing Good Functional Requirements),"Include exception and error handling: describe behavior under off-nominal situations including overflow, communication facilities, error handling and recovery, and relevant operational modes (nominal, critical, contingency).",INDIVIDUAL,"Starhawk defines five operational modes but most requirements never state which mode they apply to. REQ-002 is a rare exception (names Manual Flight, Autopilot, Combat).","Is 'does not state its operating mode' a defect per requirement, or one set-level observation? Leaning set-level to avoid 50 near-identical findings."
SWEHB 5.09,3.2.1 (Tips for Writing Good Functional Requirements),Prioritize requirements: identify which functions are critical vs. optional.,SET/SRS,"Starhawk has no priority or criticality field anywhere, though REQ-030 refers to 'critical faults' as though criticality were defined.",Related to the undefined-terms finding in initial_srs_observations.md section 8.
SWEHB 5.09,1.c (Qualification Provisions),"Specify how the software requirements will be verified and validated, using the qualification methods: Demonstration, Testing, Analysis, Inspection.",SET/SRS,Starhawk has NO Qualification Provisions section. Nothing in the document states how any requirement will be verified. This is a structural gap no individual requirement would reveal.,"SWEHB is guidance, not binding like the NPR. Call this a 'recommendation not followed' rather than a defect, and word findings accordingly."
SWEHB 5.09,1.d / 3.2 (Rationale),"Provide rationale, context, and justification for requirements; consider co-locating supporting rationale with each requirement.",MULTIPLE,"Starhawk provides no rationale for any requirement. Section 10's mission needs are the closest thing, but they are not linked to individual requirements.",Would adding rationale have prevented the undefined thresholds? Plausible but unprovable - flag as hypothesis.
SWEHB 5.09,1.b (Requirement types),"An SRS should cover functional, non-functional, interface, and user requirements, including Safety, Security and Privacy, Fault Management, Fault Tolerance, Partitioning, and Computer Hardware Resource Utilization.",SET/SRS,"Useful as a completeness checklist. Starhawk covers functional, some performance and security, but has nothing on resource utilization (memory/CPU/storage), partitioning, or fault tolerance beyond REQ-040 to 043.",This is the most concrete completeness test available to us - a checklist of expected categories rather than open-ended 'what is missing?'.
SWEHB 5.09,"3 (Guidance, intro)","The SRS is revised as the project progresses; baselining for milestone reviews is covered by Topic 7.08, and requirements volatility is tracked per SWE-200.",PROCESS,Confirms that document maturity and change control sit outside the text itself.,Cross-references SWE-053 in our NPR rows above - consistent.
